figure_file,relative_path,format,image_size_px,file_size_kb,mtime,likely_figure_id,section_in_manuscript,caption_candidate,source_script,source_data_file,source_data_type,data_status,is_duplicate,duplicate_group_id,is_outdated,problem_level,problem_description,recommended_action
publication_fig04_length_optimization.pdf,figures_publication/publication_fig04_length_optimization.pdf,pdf,,75.9,2026-05-12T07:49:57Z,publication_length_optimization_4panel,Journal pack — NOT 策划书 Fig 4,Montage (a) + entropy (b) + L2 bars (c) + separate ratio (d); footnote may list optimum text,scripts/make_publication_figures.py::fig03_length_optimization,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv,csv,raw_data_verified,same_figure_formats,publication_fig03_fig04_length_optimization_pair,no,warning,Four-panel layout and naming collide with 策划书 triple-panel Fig 4; png fig03 == png fig04 (duplicate export).,archive_only
publication_fig04_length_optimization.png,figures_publication/publication_fig04_length_optimization.png,png,4350x3673,535.2,2026-05-12T07:49:57Z,publication_length_optimization_4panel,Journal pack — NOT 策划书 Fig 4,Montage (a) + entropy (b) + L2 bars (c) + separate ratio (d); footnote may list optimum text,scripts/make_publication_figures.py::fig03_length_optimization,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv,csv,raw_data_verified,no,publication_fig03_fig04_length_optimization_pair,no,warning,Four-panel layout and naming collide with 策划书 triple-panel Fig 4; png fig03 == png fig04 (duplicate export).,archive_only
supplementary_fig_s2_reinstallation_robustness.png,figures_publication/supplementary_fig_s2_reinstallation_robustness.png,png,3579x1700,160.3,2026-05-12T07:52:06Z,supplementary_fig_s2_reinstallation_robustness,Supplementary,NCC / reinstall robustness from publication script,scripts/make_publication_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/new_datasets_analysis/metrics_summary.json,json,raw_data_verified,no,,no,minor,,use_after_minor_style_fix
supplementary_fig_s2_reinstallation_robustness.pdf,figures_publication/supplementary_fig_s2_reinstallation_robustness.pdf,pdf,,20.8,2026-05-12T07:52:06Z,supplementary_fig_s2_reinstallation_robustness,Supplementary,NCC / reinstall robustness from publication script,scripts/make_publication_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/new_datasets_analysis/metrics_summary.json,json,raw_data_verified,no,,no,minor,,use_after_minor_style_fix
publication_fig03_length_optimization.svg,figures_publication/publication_fig03_length_optimization.svg,svg,,166.0,2026-05-12T07:49:56Z,publication_length_optimization_4panel,Journal pack — NOT 策划书 Fig 4,Montage (a) + entropy (b) + L2 bars (c) + separate ratio (d); footnote may list optimum text,scripts/make_publication_figures.py::fig03_length_optimization,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv,csv,raw_data_verified,same_figure_formats,publication_fig03_fig04_length_optimization_pair,no,warning,Four-panel layout and naming collide with 策划书 triple-panel Fig 4; png fig03 == png fig04 (duplicate export).,archive_only
publication_fig02_speckle_response_pseudocolor.svg,figures_publication/publication_fig02_speckle_response_pseudocolor.svg,svg,,10522.5,2026-05-12T07:49:56Z,publication_speckle_response,2–3 illustrative speckle,Representative speckle panels from videocapture,scripts/make_publication_figures.py::fig02_speckle_response,videocapture (see script LENGTH_IMAGE paths),video_frames,raw_data_verified,no,,no,OK,,use_after_minor_style_fix
publication_fig02_speckle_response_pseudocolor.png,figures_publication/publication_fig02_speckle_response_pseudocolor.png,png,4406x1826,8051.2,2026-05-12T07:49:54Z,publication_speckle_response,2–3 illustrative speckle,Representative speckle panels from videocapture,scripts/make_publication_figures.py::fig02_speckle_response,videocapture (see script LENGTH_IMAGE paths),video_frames,raw_data_verified,no,,no,OK,,use_after_minor_style_fix
publication_fig03_length_optimization.png,figures_publication/publication_fig03_length_optimization.png,png,4350x3673,535.2,2026-05-12T07:49:56Z,publication_length_optimization_4panel,Journal pack — NOT 策划书 Fig 4,Montage (a) + entropy (b) + L2 bars (c) + separate ratio (d); footnote may list optimum text,scripts/make_publication_figures.py::fig03_length_optimization,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv,csv,raw_data_verified,yes,content_duplicate_sha256_26f20a68696b2851_pub03_pub04,no,warning,Four-panel layout and naming collide with 策划书 triple-panel Fig 4; png fig03 == png fig04 (duplicate export).,archive_only
publication_fig03_length_optimization.pdf,figures_publication/publication_fig03_length_optimization.pdf,pdf,,75.9,2026-05-12T07:49:56Z,publication_length_optimization_4panel,Journal pack — NOT 策划书 Fig 4,Montage (a) + entropy (b) + L2 bars (c) + separate ratio (d); footnote may list optimum text,scripts/make_publication_figures.py::fig03_length_optimization,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv,csv,raw_data_verified,same_figure_formats,publication_fig03_fig04_length_optimization_pair,no,warning,Four-panel layout and naming collide with 策划书 triple-panel Fig 4; png fig03 == png fig04 (duplicate export).,archive_only
supplementary_fig_s2_reinstallation_robustness.svg,figures_publication/supplementary_fig_s2_reinstallation_robustness.svg,svg,,42.0,2026-05-12T07:52:06Z,supplementary_fig_s2_reinstallation_robustness,Supplementary,NCC / reinstall robustness from publication script,scripts/make_publication_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/new_datasets_analysis/metrics_summary.json,json,raw_data_verified,no,,no,minor,,use_after_minor_style_fix
